"CURSO;DISCIPLINA;PERIODO;PRE_REQUISITOS"
"GAMB;Expressão Oral e Escrita;2;"
"GAMB;Equações Diferenciais Ordinárias (EDO);3;Cálculo a Várias Variáveis,Álgebra linear II"
"GAMB;Cálculo Vetorial;3;Cálculo a Várias Variáveis"
"GAMB;Mecânica Geral;3;Mecânica Básica,Álgebra Linear II"
"GAMB;Eletricidade Básica;3;Cálculo a Várias Variáveis,Mecânica Básica"
"GAMB;Química Ambiental;3;Química Orgânica"
"GAMB;Estatística;3;Cálculo a Várias Variáveis"
"GAMB;Administração;3;"
"GAMB;Equações Diferenciais Parciais e Séries (EDPS);4;Equações Diferenciais Ordinárias (EDO)"
"GAMB;Fundamentos de Engenharia de Segurança;4;"
"GAMB;Física Térmica;4;Mecânica Básica"
"GAMB;Resistência dos Materiais (III);4;Mecânica Geral"
"GAMB;Introdução a Economia;4;"
"GAMB;Topografia e Geodésia;4;Desenho Técnico"
"GAMB;Cálculo Numérico;4;Cálculo a uma Variável,Computação"
"GAMB;Geologia;4;"
"GAMB;Fenômenos de Transporte;5;Física Térmica"
"GAMB;Bioquímica Ambiental;5;Biologia Ambiental,Química Orgânica"
"GAMB;Humanidades e Ciências Sociais;5;"
"GAMB;Gestão da Qualidade;5;Estatística"
"GAMB;Cartografia e Geoprocessamento;5;Computação,Topografia e Geodésia"
"GAMB;Controle de Poluição I;5;Química Ambiental"
"GAMB;Saneamento e Saúde Ambiental;5;Ecologia Geral"
"GAMB;Mecânica dos Solos;6;Geologia"
"GAMB;Hidrologia e Recursos hídricos;6;Estatística"
"GAMB;Microbiologia;6;Biologia Ambiental"
"GAMB;Resíduos Sólidos Urbanos;6;Saneamento e Saúde Ambiental"
"GAMB;Controle de Poluição II;6;Controle de Poluição I"
"GAMB;Recursos Naturais e Conservação de Energia;6;Ecologia Geral"
"GAMB;Analises FísicoQuímicas I;6;Química Orgânica"
"GAMB;Modelagem Ambiental;7;Computação,Cartografia e Geoprocessamento"
"GAMB;Análises Microbiológicas;7;Microbiologia"
"GAMB;Hidráulica;7;Fenômenos de Transporte"
"GAMB;Sistemas de Abastecimento de Água;7;Hidrologia e Recursos Hídricos,Fenômenos de Transporte"
"GAMB;Sistemas de Esgotos;7;Fenômenos de Transporte"
"GAMB;Fundamentos de Processos Industriais;7;Química Orgânica"
"GAMB;Análises FísicoQuímicas II;7;Analises FísicoQuímicas I"
"GAMB;Tratamento de Resíduos Sólidos;8;Resíduos Sólidos Urbanos"
"GAMB;Sistemas de Drenagem;8;Hidrologia e Recursos Hídricos,Fenômenos de Transporte"
"GAMB;Tratamento de Águas;8;Bioquímica Ambiental"
"GAMB;Tratamento de Efluentes;8;Bioquímica Ambiental"
"GAMB;Planejamento Ambiental;8;Recursos Naturais e Conservação de Energia"
"GAMB;Estágio Supervisionado de Engenharia Ambiental;9;160 créditos cumpridos"
"GAMB;Gestão Ambiental I;9;Planejamento Ambiental"
"GAMB;Legislação e Direito ambiental;9;Planejamento Ambiental"
"GAMB;Projeto Final I;9;Metodologia Científica,160 créditos cumpridos"
"GAMB;Gestão Ambiental II;10;Gestão Ambiental I"
"GAMB;Riscos Ambientais;10;Gestão Ambiental I"
"GAMB;Projeto Final II;10;Projeto Final I"
"GAMB;Atividades Complementares;10;"
"GAUT;Cálculo a uma Variável;1;"
"GAUT;Álgebra Linear I;1;"
"GAUT;Desenho;1;"
"GAUT;Química;1;"
"GAUT;Introdução a Engenharia;1;"
"GAUT;Cálculo a Várias Variáveis;2;Cálculo a uma Variável,Álgebra Linear I"
"GAUT;Álgebra Linear II;2;Álgebra Linear I"
"GAUT;Computação;2;"
"GAUT;Mecânica Básica;2;Cálculo a uma Variável,Álgebra Linear I"
"GAUT;Humanidades e Ciênc. Sociais;2;"
"GAUT;Metodologia Científica;2;"
"GAUT;Equações Diferenciais Ordinárias E.D.O;3;Cálculo a várias Variáveis,Álgebra Linear II"
"GAUT;Cálculo Vetorial;3;Cálculo a Várias Variáveis"
"GAUT;Cálculo Numérico;3;Computação,Cálculo a uma Variável"
"GAUT;Mecânica Geral;3;Mecânica Básica,Álgebra Linear II"
"GAUT;Eletricidade Básica;3;Cálculo a Várias Variáveis,Mecânica Básica"
"GAUT;Estatística;3;Cálculo a Varias Variáveis"
"GAUT;Fundamentos de Engenharia de Segurança;3;"
