"CURSO;DISCIPLINA;PERIODO;PRE_REQUISITOS"
"GMEC;Cálculo a várias variáveis;2;Cálculo a uma variável,Álgebra Linear I"
"GMEC;Álgebra Linear II;2;Álgebra Linear I"
"GMEC;Computação;2;"
"GMEC;Mecânica Básica;2;Cálculo a uma variável,Álgebra Linear I"
"GMEC;H.C.S.;2;"
"GMEC;Metodologia Científica;2;"
"GMEC;Administração;2;"
"GMEC;E.D.O;3;Cálculo a várias variáveis,Álgebra Linear II"
"GMEC;Cálculo Vetorial;3;Cálculo a várias variáveis"
"GMEC;Cálculo Numérico;3;Álgebra Linear I,Computação,Cálculo a uma variável"
"GMEC;Estatística;3;Cálculo a várias variáveis"
"GMEC;Eletricidade Básica;3;Cálculo a varias Variáveis,Mecânica Básica"
"GMEC;Estática;3;Álgebra Linear II,Mecânica Básica"
"GMEC;Economia;3;"
"GMEC;E.D.P.S.;4;E.D.O"
"GMEC;Desenho Técnico I;4;Desenho"
"GMEC;Física Térmica;4;Mecânica Básica"
"GMEC;Resistência dos Materiais I;4;Estática"
"GMEC;Dinâmica;4;Cálculo Numérico,Estática,E.D.O"
"GMEC;Materiais de Const. Mecânica;4;Química"
"GMEC;Normalização e Confiabilidade;4;Estatística"
"GMEC;Metrologia;5;Normalização e Confiabilidade"
"GMEC;Ondas;5;Eletricidade Básica,Física Térmica,E.D.O."
"GMEC;Metalografia e Trat.Térmicos. I;5;Materiais de Const. Mecânica"
"GMEC;Resistência de Materiais II;5;E.D.O,Resistência dos Materiais I"
"GMEC;Termodinâmica I;5;Física Térmica,Cálculo Vetorial"
"GMEC;Mecanismos;5;Dinâmica"
"GMEC;Maquinas Operatrizes;5;Estática"
"GMEC;Ciências do Ambiente;5;Química"
"GMEC;Desenho de Máquinas;6;Desenho Técnico I,Resistência de Materiais II"
"GMEC;Elementos de Máquinas I;6;Metalografia e Trat.Térmicos. I,Resistência de Materiais II"
"GMEC;Metalografia e Trat.Térmicos. II;6;Metalografia e Trat.Térmicos. I"
"GMEC;Dinânica das Máquinas;6;Mecanismos"
"GMEC;Termodinâmica II;6;Termodinâmica I"
"GMEC;Mecânica dos Fluidos;6;Ondas,Termodinâmica I,E.D.P.S."
"GMEC;Processos de Fabricação I;6;Maquinas Operatrizes"
"GMEC;Eletricidade Aplicada;7;Eletricidade Básica"
"GMEC;Elementos de Máquinas II;7;Elementos de Máquinas I"
"GMEC;Processos de Fabricação II;7;Metalografia e Trat.Térmicos. II"
"GMEC;Lubrificação e Manutenção;7;Mecânica dos Fluidos"
"GMEC;Transferência de Calor;7;Termodinâmica II,Mecânica dos Fluidos"
"GMEC;Projetos de Ferramentas;7;Maquinas Operatrizes,Desenho de Máquinas"
"GMEC;Fundamentos de Engenharia Segurança;7;"
"GMEC;Máquinas de Transporte;8;Elementos de Máquinas II"
"GMEC;Vibrações Mecânicas;8;Ondas,Dinânica das Máquinas"
"GMEC;Sistemas Térmicos;8;Transferência de Calor"
"GMEC;Construção de Máquinas;8;Metrologia,Elementos de Máquinas II"
"GMEC;Instalações Industriais;8;Resistência de Materiais II,Transferência de Calor"
"GMEC;Planejamento da Produção;9;Conclusão de 90 créditos"
"GMEC;Sistemas Fluidomecânicos;9;Mecânica dos Fluidos"
"GMEC;Projeto Final I;9;Elementos de Máquinas II,Processos de Fabricação II,Transferência de Calor"
"GMEC;Estágio Supervisionado;9;Conclusão de 160 créditos"
"GMEC;Projeto Final II;10;Projeto Final I"
"GPRO;Cálculo a uma Variável;1;"
"GPRO;Álgebra Linear I;1;"
"GPRO;Desenho;1;"
"GPRO;Química;1;"
"GPRO;Introdução à Administração;1;"
"GPRO;Introdução a Engenharia;1;"
"GPRO;Cálculo a Várias Variáveis;2;Cálculo a uma Variável,Álgebra Linear I"
"GPRO;Álgebra Linear II;2;Álgebra Linear I"
"GPRO;Computação;2;"
"GPRO;Mecânica Básica;2;Cálculo a uma Variável,Álgebra Linear I"
"GPRO;Humanidades e Ciênc. Sociais;2;"
"GPRO;Metodologia Científica;2;"
"GPRO;Introdução a Economia;2;"
"GPRO;E.D.O;3;Cálculo a Várias Variáveis,Álgebra Linear II"
"GPRO;Cálculo Vetorial;3;Cálculo a Várias Variáveis"
"GPRO;Cálculo Numérico;3;Computação,Cálculo a uma Variável"
"GPRO;Mecânica Geral;3;Álgebra Linear II,Mecânica Básica"
"GPRO;Eletricidade Básica;3;Cálculo a Várias Variáveis,Mecânica Básica"
"GPRO;Estatística;3;Cálculo a Várias Variáveis"
"GPRO;Engenharia de Métodos;3;Metodologia Científica,Introdução à Administração,Introdução a Engenharia"
"GPRO;E.D.P.S;4;E.D.O"
"GPRO;Desenho Técnico I;4;Desenho"
"GPRO;Física Térmica;4;Mecânica Básica"
"GPRO;Resistência de Materiais III;4;Mecânica Geral"
"GPRO;Eletricidade / Eletrônica;4;Eletricidade Básica"
"GPRO;Métodos Estatísticos;4;Estatística"
"GPRO;Ciências do Ambiente;5;Química"
"GPRO;Ondas;5;Eletricidade Básica,Física Térmica,E.D.O."
"GPRO;Fenômenos de Transporte;5;Física Térmica"
"GPRO;Gestão da Informação I;5;Introdução à Administração,Engenharia de Métodos"
"GPRO;Tecnologia de Materiais;5;Química"
"GPRO;Est. Qual. e Confiabilidade;5;Métodos Estatísticos"
"GPRO;Psi.Soc. Trab;5;"
"GPRO;Processos de Fabricação;6;Tecnologia de Materiais"
"GPRO;Contabilidade Gerencial;6;Introdução a Economia"
"GPRO;Pesquisa Operacional I;6;Gestão da Informação I,Cálculo Numérico"
"GPRO;Ergonomia;6;Engenharia de Métodos"
"GPRO;Gestão da Qualidade;6;Est. Qual. e Confiabilidade"
"GPRO;Confiabilidade Estrutural;6;Est. Qual. e Confiabilidade"
"GPRO;Fundamentos de Engenharia de Segurança;6;"
"GPRO;Planejamento das Instalações;7;Desenho Técnico I,Pesquisa Operacional I"
"GPRO;Proj. Organizacional;7;Engenharia de Métodos"
"GPRO;Pesquisa Operacional II;7;Pesquisa Operacional I"
"GPRO;Gestão Ambiental;7;Ciências do Ambiente,Gestão da Qualidade"
"GPRO;Engenharia Econômica;7;"
"GPRO;Custos Industriais;7;Contabilidade Gerencial"
"GPRO;Gest. Manutenção;7;Gestão da Qualidade"
"GPRO;P.C.P.I;8;Planejamento das Instalações,Pesquisa Operacional I,Custos Industriais"
"GPRO;Gestão Empreendedora;8;"
"GPRO;Proj. Produto;8;Ergonomia"
"GPRO;Gestão de Projetos;8;Introdução a Economia,Custos Industriais"
"GPRO;Projeto Final I;9;"
"GPRO;Gestão Estratégica;9;Proj. Organizacional"
"GPRO;P.C.P. II;9;P.C.P.I"
"GPRO;Logística;9;P.C.P.I,Pesquisa Operacional II"
"GPRO;Projeto Final II;10;Projeto Final I"
"GPRO;Estágio Supervisionado;10;Conclusão de 120 créditos"
"GPRO;Análise Organizacional;10;Gestão Ambiental,Psi.Soc. Trab"
"GTEL;Cálculo a uma Variável;1;"
"GTEL;Álgebra Linear I;1;"
"GTEL;Desenho;1;"
"GTEL;Química;1;"
"GTEL;Introdução a Engenharia;1;"
"GTEL;Cálculo a Várias Variáveis;2;Cálculo a uma Variável,Álgebra Linear I"
"GTEL;Álgebra Linear II;2;Álgebra Linear I"
"GTEL;Computação;2;"
"GTEL;Mecânica Básica;2;Cálculo a uma Variável,Álgebra Linear I"
"GTEL;Humanidades e Ciênc. Sociais;2;"
"GTEL;Metodologia Científica;2;"
"GTEL;Equações Diferenciais Ordinárias E.D.O;3;Cálculo a Várias Variáveis,Álgebra Linear II"
"GTEL;Cálculo Vetorial;3;Cálculo a Várias Variáveis"
"GTEL;Cálculo Numérico;3;Computação,Cálculo a uma Variável"
"GTEL;Mecânica Geral;3;Mecânica Básica,Álgebra Linear II"
"GTEL;Eletricidade Básica;3;Cálculo a Várias Variáveis,Mecânica Básica"
"GTEL;Estatística;3;Cálculo a Várias Variáveis"
"GTEL;Fundamentos de Engenharia de Segurança;3;"
"GTEL;Equações Diferenciais Parciais e Séries E.D.P.S;4;Equações Diferenciais Ordinárias E.D.O"
"GTEL;Variáveis Complexas;4;Cálculo a Várias Variáveis"
"GTEL;Física Térmica;4;Mecânica Básica"
"GTEL;Resistência de Materiais III;4;Mecânica Geral"
"GTEL;Circuitos Elétricos I;4;Eletricidade Básica"
"GTEL;Materiais Elétricos;4;Química,Eletricidade Básica"
"GTEL;Eletrônica Digital;4;Eletricidade Básica"
"GTEL;Ciências do Ambiente;5;Química"
"GTEL;Desenho Técnico I;5;Desenho"
"GTEL;Ondas;5;Eletricidade Básica,Física Térmica,Equações Diferenciais Ordinárias E.D.O"
"GTEL;Fenômenos de Transporte;5;Física Térmica"
"GTEL;Circuitos Elétricos II;5;Circuitos Elétricos I"
"GTEL;Eletrônica I;5;Materiais Elétricos,Circuitos Elétricos I"
"GTEL;Sistemas Digitais;5;Eletrônica Digital"
"GTEL;Sinais e Sistemas;6;Equações Diferenciais Ordinárias E.D.O,Variáveis Complexas"
"GTEL;Eletromagnetismo I;6;Eletricidade Básica"
"GTEL;Controles e Servomecanismos V;6;Circuitos Elétricos II"
"GTEL;Planejamento da Produção;6;Mínimo 60 créditos"
"GTEL;Eletrônica II;6;Circuitos Elétricos II,Eletrônica I"
"GTEL;Microprocessadores I;6;Sistemas Digitais"
"GTEL;Princípios de Telecomunicações;6;Circuitos Elétricos II,Eletrônica I,Mínimo de 90 créditos"
"GTEL;Processamento de Sinais I;7;Sinais e Sistemas"
"GTEL;Eletromagnetismo II;7;Eletromagnetismo I,Ondas"
"GTEL;Eletrônica III;7;Eletrônica II"
"GTEL;Medidas elétricas e magnéticas;7;Eletromagnetismo I,Circuitos Elétricos II"
"GTEL;Microprocessadores II;7;Microprocessadores I"
"GTEL;Transmissão Digital I;7;Princípios de Telecomunicações"
"GTEL;Protocolos;7;Sistemas Digitais"
"GTEL;Administração;8;"
"GTEL;Conversão de Energia I;8;Eletromagnetismo II"
"GTEL;Redes I;8;Mínimo de 110 créditos"
"GTEL;Microondas;8;Eletromagnetismo II"
"GTEL;Propagação de Ondas;8;Eletromagnetismo II"
"GTEL;Telefonia;8;Princípios de Telecomunicações"
"GTEL;Comunicações Via Satélite;8;Princípios de Telecomunicações"
"GTEL;Transmissão Digital II;8;Transmissão Digital I"
"GTEL;Economia;9;"
"GTEL;Redes II;9;Redes I"
"GTEL;Projeto final I;9;Transmissão Digital II"
"GTEL;Antenas;9;Eletromagnetismo II"
"GTEL;Televisão digital;9;"
"GTEL;Sistemas de Telecomunicações;9;Princípios de Telecomunicações"
"GTEL;Comunicações Óticas;9;Eletromagnetismo II"
"GTEL;Estágio supervisionado;10;Mínimo de 120 créditos"
"GTEL;Sistemas de Qualidade;10;Mínimo de 130 créditos"
"GTEL;Comunicações Móveis;10;Transmissão Digital II,Propagação de Ondas"
"GTEL;Projeto final II;10;Projeto final I"
"LEANI;Língua Espanhola I;1;"
"LEANI;Língua Inglesa I;1;"
"LEANI;Língua Francesa I;1;"
"LEANI;Produção Textual Acadêmica;1;"
"LEANI;Identidades Culturais I;1;"
"LEANI;Linguagem e Sociedade;1;"
"LEANI;Formação da Sociedade Brasileira;1;"
"LEANI;Introdução às Relações Internacionais;1;"
"LEANI;Introdução à Gestão;1;"
"LEANI;Língua Espanhola II;2;Língua Espanhola I"
"LEANI;Língua Inglesa II;2;Língua Inglesa I"
"LEANI;Língua Francesa II;2;Língua Francesa I"
"LEANI;Identidades Culturais II;2;Identidades Culturais I"
"LEANI;Introdução às Políticas Linguísticas;2;Linguagem e Sociedade"
"LEANI;História das Relações Internacionais;2;"
"LEANI;Filosofia e Ética aplicadas às Relações Internacionais;2;"
"LEANI;Direito Constitucional;2;"
"LEANI;Língua Espanhola III;3;Língua Espanhola II"
"LEANI;Língua Inglesa III;3;Língua Inglesa II"
"LEANI;Língua Francesa III;3;Língua Francesa II"
"LEANI;Identidades Culturais III;3;Identidades Culturais II"
"LEANI;Teoria das Relações Internacionais I;3;História das Relações Internacionais"
"LEANI;Direito Internacional Público;3;Direito Constitucional"
"LEANI;Fundamentos de Marketing;3;Introdução à Gestão"
"LEANI;Introdução ao Turismo e à Hospitalidade;3;"
"LEANI;Língua Espanhola IV;4;Língua Espanhola III"
"LEANI;Língua Inglesa IV;4;Língua Inglesa III"
"LEANI;Língua Francesa IV;4;Língua Francesa III"
"LEANI;Cultura Hispânica;4;Língua Espanhola II"
"LEANI;Teoria das Relações Internacionais II;4;Teoria das Relações Internacionais I"
"LEANI;Administração de Varejo;4;Fundamentos de Marketing"
"LEANI;Gestão Empreendedora;4;Introdução à Gestão"
"LEANI;Direito Internacional Privado;4;Direito Internacional Público"
"LEANI;Língua Espanhola V;5;Língua Espanhola IV"
"LEANI;Língua Inglesa V;5;Língua Inglesa IV"
"LEANI;Língua Francesa V;5;Língua Francesa IV"
"LEANI;Culturas Francófonas;5;Língua Francesa IV"
"LEANI;Análise da Política Externa Brasileira;5;Teoria das Relações Internacionais I"
"LEANI;Turismo e Sociedade;5;"
"LEANI;Sociologia Aplicada às Negociações Internacionais;5;"
"LEANI;Planejamento e Consultoria Linguística;5;"
"LEANI;Economia Política Internacional;5;"
"LEANI;Língua Espanhola VI;6;Língua Espanhola V"
"LEANI;Língua Inglesa VI;6;Língua Inglesa V"
"LEANI;Língua Francesa VI;6;Língua Francesa V"
"LEANI;Cultura dos países de Língua Inglesa;6;Língua Inglesa II"
"LEANI;Estudos de Teorias da Tradução;6;"
"LEANI;Teoria e Técnicas de Negociações Internacionais;6;História das Relações Internacionais"
"LEANI;Organização e Gestão de Eventos I;6;Turismo e Sociedade"
"LEANI;Estratégia Empresarial;6;Introdução à Gestão"
"LEANI;Metodologia Científica;6;Produção Textual Acadêmica"
"LEANI;Macroeconomia;6;"
"LEANI;Língua Espanhola VII: tradução x versão;7;Língua Espanhola VI"
"LEANI;Língua Inglesa VII: tradução x versão;7;Língua Inglesa VI"
"LEANI;Língua Francesa VII: tradução x versão;7;Língua Francesa VI"
"LEANI;Organização e Gestão de Eventos II;7;Organização e Gestão de Eventos I"
"LEANI;Organizações Internacionais e Integração Regional;7;"
"LEANI;Projeto TCC;7;Metodologia Científica"
"LEANI;Trabalho de Conclusão de Curso;8;Projeto TCC"
"LEANI;Estágio Supervisionado;8;100 créditos"
"LEANI;Atividades Acadêmicas CientíficoCulturais;8;"
